model_name,metric,value
rnn,mse,17927.676
rnn,mae,109.65847
rnn,rmse,133.89427
rnn,mape,11.880876868963242
rnn,direction_accuracy,0.5
rnn,r2,-0.12174105644226074
rnn,accuracy,0.6
rnn,f1,0.75
rnn,precision,0.6
rnn,recall,1.0
lstm,mse,47389.516
lstm,mae,176.87134
lstm,rmse,217.69133
lstm,mape,18.90980899333954
lstm,direction_accuracy,0.25
lstm,r2,-1.9651787281036377
lstm,accuracy,0.6
lstm,f1,0.75
lstm,precision,0.6
lstm,recall,1.0
gan,mse,245236.53
gan,mae,486.3746
gan,rmse,495.21362
gan,mape,56.25104904174805
gan,direction_accuracy,0.75
gan,r2,-14.344536781311035
gan,accuracy,0.4
gan,f1,0.5714285714285714
gan,precision,0.5
gan,recall,0.6666666666666666
gan,final_capital,13542.466786159004
gan,total_return,35.424667861590045
gan,sharpe_ratio,12.11215867521674
gan,max_drawdown,0.14753604565188772
gan,num_trades,1
gan,win_rate,100.0
